Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Johnson County, KS",20091,89,602401,14.8,14.4
,"Leavenworth County, KS",20103,10,81758,Unreliable,Unreliable
,"Reno County, KS",20155,18,61998,Unreliable,Unreliable
,"Saline County, KS",20169,11,54224,Unreliable,Unreliable
,"Sedgwick County, KS",20173,98,516042,19,19.7
,"Shawnee County, KS",20177,35,176875,19.8,20.7
,"Wyandotte County, KS",20209,23,165429,13.9,14.4
,"Barren County, KY",21009,10,44249,Unreliable,Unreliable
,"Boone County, KY",21015,17,133581,Unreliable,Unreliable
,"Bullitt County, KY",21029,14,81676,Unreliable,Unreliable
,"Calloway County, KY",21035,13,39001,Unreliable,Unreliable
,"Campbell County, KY",21037,13,93584,Unreliable,Unreliable
,"Daviess County, KY",21059,12,101511,Unreliable,Unreliable
,"Fayette County, KY",21067,36,323152,11.1,10.2
,"Hardin County, KY",21093,24,110958,21.6,23
,"Hopkins County, KY",21107,13,44686,Unreliable,Unreliable
,"Jefferson County, KY",21111,126,766757,16.4,16.3
,"Kenton County, KY",21117,32,166998,19.2,18.6
,"McCracken County, KY",21145,14,65418,Unreliable,Unreliable
,"Madison County, KY",21151,12,92987,Unreliable,Unreliable
,"Pulaski County, KY",21199,14,64979,Unreliable,Unreliable
,"Warren County, KY",21227,23,132896,17.3,16.8
,"Acadia Parish, LA",22001,11,62045,Unreliable,Unreliable
,"Ascension Parish, LA",22005,14,126604,Unreliable,Unreliable
,"Bossier Parish, LA",22015,18,127039,Unreliable,Unreliable
,"Caddo Parish, LA",22017,33,240204,13.7,12.9
,"Calcasieu Parish, LA",22019,48,203436,23.6,23.9
,"East Baton Rouge Parish, LA",22033,66,440059,15,15.4
,"Jefferson Parish, LA",22051,65,432493,15,14.4
,"Lafayette Parish, LA",22055,35,244390,14.3,13.7
,"Lafourche Parish, LA",22057,16,97614,Unreliable,Unreliable
,"Livingston Parish, LA",22063,21,140789,14.9,14.3
,"Orleans Parish, LA",22071,41,390144,10.5,10.1
,"Ouachita Parish, LA",22073,23,153279,15,14.7
,"Plaquemines Parish, LA",22075,10,23197,Unreliable,Unreliable
,"Rapides Parish, LA",22079,23,129648,17.7,18.1
,"St. Landry Parish, LA",22097,14,82124,Unreliable,Unreliable
,"St. Martin Parish, LA",22099,11,53431,Unreliable,Unreliable
,"St. Tammany Parish, LA",22103,49,260419,18.8,19
,"Tangipahoa Parish, LA",22105,14,134758,Unreliable,Unreliable
,"Terrebonne Parish, LA",22109,15,110461,Unreliable,Unreliable
,"Vermilion Parish, LA",22113,10,59511,Unreliable,Unreliable
,"Androscoggin County, ME",23001,25,108277,23.1,22.4
,"Cumberland County, ME",23005,42,295003,14.2,12.7
,"Hancock County, ME",23009,15,54987,Unreliable,Unreliable
,"Kennebec County, ME",23011,17,122302,Unreliable,Unreliable
,"Knox County, ME",23013,11,39772,Unreliable,Unreliable
,"Lincoln County, ME",23015,10,34634,Unreliable,Unreliable
,"Oxford County, ME",23017,18,57975,Unreliable,Unreliable
,"Penobscot County, ME",23019,20,152148,13.1,11.2
,"Somerset County, ME",23025,20,50484,39.6,32
,"York County, ME",23031,56,207641,27,26.5
,"Allegany County, MD",24001,10,70416,Unreliable,Unreliable
,"Anne Arundel County, MD",24003,74,579234,12.8,12
,"Baltimore County, MD",24005,102,827370,12.3,11.5
,"Calvert County, MD",24009,11,92525,Unreliable,Unreliable
,"Carroll County, MD",24013,19,168447,Unreliable,Unreliable
,"Cecil County, MD",24015,25,102855,24.3,23.6
,"Charles County, MD",24017,16,163257,Unreliable,Unreliable
,"Frederick County, MD",24021,34,259547,13.1,12.5
,"Harford County, MD",24025,28,255441,11,10.4
,"Howard County, MD",24027,39,325690,12,11.8
,"Montgomery County, MD",24031,82,1050688,7.8,7.4
,"Prince George's County, MD",24033,65,909327,7.1,6.9
,"St. Mary's County, MD",24037,13,113510,Unreliable,Unreliable
,"Washington County, MD",24043,27,151049,17.9,17.6
,"Wicomico County, MD",24045,13,103609,Unreliable,Unreliable
,"Baltimore city, MD",24510,55,593490,9.3,9.1
,"Barnstable County, MA",25001,23,212990,10.8,10.2
,"Berkshire County, MA",25003,23,124944,18.4,18.7
,"Bristol County, MA",25005,66,565217,11.7,11.7
,"Essex County, MA",25009,75,789034,9.5,8.8
,"Franklin County, MA",25011,15,70180,Unreliable,Unreliable
,"Hampden County, MA",25013,45,466372,9.6,8.8
,"Hampshire County, MA",25015,19,160830,Unreliable,Unreliable
,"Middlesex County, MA",25017,127,1611699,7.9,7.2
,"Norfolk County, MA",25021,56,706775,7.9,6.9
,"Plymouth County, MA",25023,51,521202,9.8,9.5
,"Suffolk County, MA",25025,52,803907,6.5,6.2
,"Worcester County, MA",25027,91,830622,11,10.2
,"Allegan County, MI",26005,16,118081,Unreliable,Unreliable
,"Barry County, MI",26015,10,61550,Unreliable,Unreliable
,"Bay County, MI",26017,19,103126,Unreliable,Unreliable
,"Berrien County, MI",26021,24,153401,15.6,14.9
,"Branch County, MI",26023,11,43517,Unreliable,Unreliable
,"Calhoun County, MI",26025,26,134159,19.4,20.4
,"Cass County, MI",26027,14,51787,Unreliable,Unreliable
,"Clinton County, MI",26037,10,79595,Unreliable,Unreliable
,"Delta County, MI",26041,10,35784,Unreliable,Unreliable
,"Eaton County, MI",26045,18,110268,Unreliable,Unreliable
,"Genesee County, MI",26049,56,405813,13.8,13.2
,"Grand Traverse County, MI",26055,16,93088,Unreliable,Unreliable
,"Hillsdale County, MI",26059,12,45605,Unreliable,Unreliable
,"Ingham County, MI",26065,42,292406,14.4,14
,"Jackson County, MI",26075,38,158510,24,23.6
,"Kalamazoo County, MI",26077,39,265066,14.7,13.8
,"Kent County, MI",26081,75,656955,11.4,11.4
,"Lapeer County, MI",26087,15,87607,Unreliable,Unreliable
,"Lenawee County, MI",26091,13,98451,Unreliable,Unreliable
,"Livingston County, MI",26093,29,191995,15.1,15.6
,"Macomb County, MI",26099,151,873972,17.3,16.3
,"Marquette County, MI",26103,16,66699,Unreliable,Unreliable
,"Midland County, MI",26111,10,83156,Unreliable,Unreliable
,"Monroe County, MI",26115,20,150500,13.3,11.3
,"Montcalm County, MI",26117,16,63888,Unreliable,Unreliable
,"Muskegon County, MI",26121,23,173566,13.3,13.4
,"Oakland County, MI",26125,157,1257584,12.5,11.4
,"Ottawa County, MI",26139,26,291830,8.9,9.2
,"Saginaw County, MI",26145,38,190539,19.9,17.9
,"St. Clair County, MI",26147,40,159128,25.1,25.6
,"St. Joseph County, MI",26149,13,60964,Unreliable,Unreliable
,"Tuscola County, MI",26157,11,52245,Unreliable,Unreliable
,"Van Buren County, MI",26159,12,75677,Unreliable,Unreliable
,"Washtenaw County, MI",26161,50,367601,13.6,13
,"Wayne County, MI",26163,211,1749343,12.1,11.9
,"Anoka County, MN",27003,36,356921,10.1,10.6
,"Becker County, MN",27005,11,34423,Unreliable,Unreliable
,"Beltrami County, MN",27007,16,47188,Unreliable,Unreliable
,"Carver County, MN",27019,13,105089,Unreliable,Unreliable
,"Crow Wing County, MN",27035,13,65055,Unreliable,Unreliable
,"Dakota County, MN",27037,54,429021,12.6,12.5
,"Douglas County, MN",27041,10,38141,Unreliable,Unreliable
,"Hennepin County, MN",27053,165,1265843,13,12.3
,"Mower County, MN",27099,11,40062,Unreliable,Unreliable
,"Olmsted County, MN",27109,22,158293,13.9,13.5
,"Otter Tail County, MN",27111,12,58746,Unreliable,Unreliable
,"Ramsey County, MN",27123,72,550321,13.1,12.1
,"St. Louis County, MN",27137,43,199070,21.6,22.5
,"Scott County, MN",27139,13,149013,Unreliable,Unreliable
,"Sherburne County, MN",27141,16,97238,Unreliable,Unreliable
,"Stearns County, MN",27145,18,161075,Unreliable,Unreliable
,"Washington County, MN",27163,40,262440,15.2,15
,"Wright County, MN",27171,17,138377,Unreliable,Unreliable
,"DeSoto County, MS",28033,24,184945,13,13.2
,"Forrest County, MS",28035,12,74897,Unreliable,Unreliable
,"Harrison County, MS",28047,36,208080,17.3,17.1
,"Hinds County, MS",28049,29,231840,12.5,12.4
,"Jackson County, MS",28059,26,143617,18.1,18.3
,"Jones County, MS",28067,11,68098,Unreliable,Unreliable
,"Madison County, MS",28089,13,106272,Unreliable,Unreliable
